book_id,book_title,author,format,publication_year,publication_date,num_pages_final,num_ratings,num_reviews,average_rating,ratings_1_star,ratings_2_star,ratings_3_star,ratings_4_star,ratings_5_star,ratings_total_from_dist,main_genre,genres_list_clean,num_pages_fill_source,genres_mapped_clean
10,Harry Potter Collection,J.K. Rowling,"['3342 pages, Hardcover']",2005.0,2005-01-01,3342.0,32990,974,4.72,338,247,1183,4731,26491,32990,fantasy,"fantasy,young adult,magic,childrens,classics,adventure",existing_or_parsed,"fantasy, adult fiction, paranormal & supernatural, children & pre-teens, classics, adventure"
13,The Ultimate Hitchhiker’s Guide to the Galaxy,Douglas Adams,"['815 pages, Paperback']",1996.0,1996-01-17,815.0,323845,6355,4.38,3902,8761,34756,88512,187914,323845,science fiction,"science fiction,humor,fantasy,classics,comedy,science fiction fantasy",existing_or_parsed,"science fiction, comedy, fantasy, classics"
33,The Lord of the Rings,J.R.R. Tolkien,"['1216 pages, Paperback']",1954.0,1954-01-01,1216.0,678852,14725,4.53,6847,13070,51345,151211,456379,678852,fantasy,"fantasy,classics,adventure,science fiction fantasy,high fantasy,epic fantasy",existing_or_parsed,"fantasy, classics, adventure, science fiction"
34,The Fellowship of the Ring,J.R.R. Tolkien,"['398 pages, Paperback']",1954.0,1954-07-29,398.0,2819586,40280,4.39,51443,75295,280186,724398,1688264,2819586,fantasy,"fantasy,classics,adventure,high fantasy,science fiction fantasy,epic fantasy",existing_or_parsed,"fantasy, classics, adventure, science fiction"
50,Hatchet,Gary Paulsen,"['208 pages, Hardcover']",1987.0,1987-09-30,208.0,395109,18479,3.78,17258,32871,93992,127730,123258,395109,young adult,"young adult,classics,adventure,middle grade,survival,childrens",existing_or_parsed,"adult fiction, classics, adventure, children & pre-teens, other / niche"
58,Changeling,Delia Sherman,"['256 pages, Hardcover']",2006.0,2006-08-17,256.0,1085,126,3.59,39,107,351,356,232,1085,fantasy,"fantasy,young adult,urban fantasy,fairies,middle grade,childrens",existing_or_parsed,"fantasy, adult fiction, paranormal & supernatural, children & pre-teens"
61,The Changeling,Zilpha Keatley Snyder,"['220 pages, Paperback']",1970.0,1970-01-01,220.0,1510,157,4.18,17,51,267,488,687,1510,young adult,"young adult,fantasy,childrens,middle grade,juvenile,coming of age",existing_or_parsed,"adult fiction, fantasy, children & pre-teens, coming of age"
67,The Known World,Edward P. Jones,"['388 pages, Paperback']",2003.0,2003-09-01,388.0,41387,3656,3.83,1286,3072,9441,15160,12428,41387,historical fiction,"historical fiction,african american,historical,literary fiction,literature",existing_or_parsed,"historical fiction, world literature, historical, literature & classics"
122,The Power of One,Bryce Courtenay,"['544 pages, Paperback']",1989.0,1989-01-01,544.0,89204,5930,4.35,1224,2425,9564,26626,49365,89204,historical fiction,"historical fiction,africa,classics,south africa,coming of age,historical",existing_or_parsed,"historical fiction, world literature, classics, coming of age, historical"
231,I Am Charlotte Simmons,Tom Wolfe,"['738 pages, Paperback']",2004.0,2004-12-09,738.0,27754,2142,3.45,1857,3545,8033,8908,5411,27754,contemporary,"contemporary,literary fiction,college,coming of age,literature",existing_or_parsed,"contemporary & slice of life, literature & classics, school life, coming of age"
249,Tropic of Cancer,Henry Miller,"['318 pages, Paperback']",1934.0,1934-01-01,318.0,72611,4368,3.66,3928,7275,17872,23783,19753,72611,classics,"classics,literature,banned books,american,erotica",existing_or_parsed,"classics, literature & classics, other / niche, world literature, dark & erotic"
